timestamp,symbol,market_cap_millions,previous_close,open,current_price,bid,ask,volume,day_high,day_low,change_pct,change_from_open_pct,meets_criteria
2025-06-04 02:28:43,ABCL,0.00,2.14,2.12,2.31,0.00,0.00,5006273.0,2.34,2.09,7.94,8.96,Y
2025-06-04 02:28:43,AACB,0.00,10.09,10.09,10.09,0.00,0.00,4312,10.09,10.09,0.00,0.00,N
2025-06-04 02:28:43,ABP,0.00,0.22,0.21,0.21,0.00,0.00,558390,0.22,0.20,-2.68,-0.23,N
2025-06-04 02:28:43,AAVM,0.00,26.40,26.18,26.25,0.00,0.00,10150,26.25,26.15,-0.58,0.27,N
2025-06-04 02:28:43,ACNT,0.00,13.01,13.01,12.97,0.00,0.00,61542,13.25,12.97,-0.31,-0.31,N
2025-06-04 02:28:43,ACXP,0.00,0.38,0.38,0.35,0.00,0.00,426103,0.38,0.34,-7.74,-9.11,N
2025-06-04 02:28:43,ADN,0.00,2.50,2.53,2.59,0.00,0.00,7130,2.74,2.53,3.60,2.37,N
2025-06-04 02:28:43,ABVEW,0.00,0.05,0.05,0.05,0.00,0.00,17102,0.05,0.05,11.84,-5.38,N
2025-06-04 02:28:43,ADEA,0.00,12.67,12.67,13.07,0.00,0.00,491550,13.17,12.67,3.16,3.16,Y
2025-06-04 02:28:43,ADGM,0.00,1.13,1.23,1.14,0.00,0.00,28226,1.23,1.09,0.88,-7.32,N
2025-06-04 02:28:43,ACTG,0.00,3.71,3.73,3.77,0.00,0.00,193466,3.82,3.71,1.62,1.07,N
2025-06-04 02:28:43,AAPG,0.00,25.22,27.18,27.75,0.00,0.00,19232,27.89,26.82,10.03,2.10,N
2025-06-04 02:28:43,ABIG,0.00,28.66,28.77,28.83,0.00,0.00,2623,28.85,28.77,0.61,0.23,N
2025-06-04 02:28:43,ADUS,0.00,111.20,111.09,112.68,0.00,0.00,166708,112.73,110.16,1.33,1.43,N
2025-06-04 02:28:43,ACRV,0.00,1.11,1.15,1.16,0.00,0.00,959922,1.23,1.08,4.50,0.87,Y
2025-06-04 02:28:43,ACRS,0.00,1.44,1.45,1.47,0.00,0.00,427751,1.51,1.42,2.08,1.38,N
2025-06-04 02:28:43,ACET,0.00,0.75,0.75,0.78,0.00,0.00,416492,0.79,0.71,4.01,3.87,Y
2025-06-04 02:28:43,ABUS,0.00,3.36,3.36,3.45,0.00,0.00,458153,3.48,3.31,2.68,2.68,Y
2025-06-04 02:28:43,ADUR,0.00,9.47,9.58,9.14,0.00,0.00,302184,9.60,8.88,-3.48,-4.59,N
2025-06-04 02:28:43,AAL,0.00,11.38,11.33,11.47,0.00,0.00,46024209.0,11.53,11.21,0.79,1.24,N
2025-06-04 02:28:43,AEIS,0.00,115.58,115.67,118.79,0.00,0.00,353964,119.47,114.88,2.78,2.70,Y
2025-06-04 02:28:43,ADV,0.00,1.15,1.17,1.35,0.00,0.00,977939,1.36,1.17,17.39,15.38,Y
2025-06-04 02:28:43,AACIU,0.00,10.06,10.06,10.06,0.00,0.00,532409,10.07,10.06,0.00,0.00,N
2025-06-04 02:28:43,ADSE,0.00,10.71,10.85,9.00,0.00,0.00,130019,10.98,9.00,-15.97,-17.05,N
2025-06-04 02:28:43,ADVM,0.00,2.43,2.45,2.51,0.00,0.00,338959,2.63,2.36,3.29,2.45,Y
2025-06-04 02:28:43,ADVB,0.00,0.95,0.99,1.00,0.00,0.00,101590,1.05,0.97,5.26,1.01,N
2025-06-04 02:28:43,AEMD,0.00,0.36,0.35,0.35,0.00,0.00,46043,0.36,0.34,-2.61,1.18,N
